locationId,location,iso3,timeLabel,sex,ageId,total_population,angels_0-4,angels_11-17,angels_18+,angels_5-10,angels_Total,angels_color
660,Anguilla,AIA,2023,Both sexes,188,14410,0.0,0.0,1.0,0.0,1.0,0.0
662,Saint Lucia,LCA,2023,Both sexes,188,179284,1.0,1.0,9.0,1.0,12.0,2.4849066497880004
666,Saint Pierre and Miquelon,SPM,2023,Both sexes,188,5682,0.0,0.0,0.0,0.0,0.0,-inf
670,Saint Vincent and the Grenadines,VCT,2023,Both sexes,188,101322,0.0,1.0,5.0,1.0,7.0,1.9459101490553132
674,San Marino,SMR,2023,Both sexes,188,33732,0.0,0.0,2.0,0.0,2.0,0.6931471805599453
678,Sao Tome and Principe,STP,2023,Both sexes,188,230872,2.0,3.0,8.0,2.0,15.0,2.70805020110221
682,Saudi Arabia,SAU,2023,Both sexes,188,33264292,174.0,235.0,1587.0,221.0,2218.0,7.704361167910313
686,Senegal,SEN,2023,Both sexes,188,18077574,163.0,200.0,657.0,184.0,1205.0,7.094234845924755
688,Serbia,SRB,2023,Both sexes,188,6773201,21.0,31.0,373.0,26.0,452.0,6.113682179832232
690,Seychelles,SYC,2023,Both sexes,188,127950,1.0,1.0,6.0,1.0,9.0,2.1972245773362196
694,Sierra Leone,SLE,2023,Both sexes,188,8460512,78.0,92.0,309.0,86.0,564.0,6.335054251498059
702,Singapore,SGP,2023,Both sexes,188,5789090,15.0,26.0,327.0,18.0,386.0,5.955837369464831
703,Slovakia,SVK,2023,Both sexes,188,5518054,19.0,27.0,298.0,24.0,368.0,5.908082938168931
704,Viet Nam,VNM,2023,Both sexes,188,100352192,479.0,724.0,4818.0,670.0,6690.0,8.808369153122275
705,Slovenia,SVN,2023,Both sexes,188,2118396,6.0,10.0,116.0,9.0,141.0,4.948759890378168
706,Somalia,SOM,2023,Both sexes,188,18358615,227.0,201.0,570.0,226.0,1224.0,7.1098794630722715
710,South Africa,ZAF,2023,Both sexes,188,63212384,393.0,502.0,2900.0,420.0,4214.0,8.346167594364134
716,Zimbabwe,ZWE,2023,Both sexes,188,16340822,154.0,192.0,564.0,179.0,1089.0,6.9930151229329605
724,Spain,ESP,2023,Both sexes,188,47911580,118.0,234.0,2669.0,174.0,3194.0,8.069029328774958
728,South Sudan,SSD,2023,Both sexes,188,11483374,99.0,147.0,401.0,119.0,766.0,6.641182169740591
729,Sudan,SDN,2023,Both sexes,188,50042790,510.0,540.0,1758.0,528.0,3336.0,8.112527763478637
732,Western Sahara,ESH,2023,Both sexes,188,579729,3.0,4.0,28.0,4.0,39.0,3.6635616461296463
740,Suriname,SUR,2023,Both sexes,188,628886,4.0,5.0,29.0,4.0,42.0,3.7376696182833684
748,Eswatini,SWZ,2023,Both sexes,188,1230506,9.0,12.0,49.0,11.0,82.0,4.406719247264253
752,Sweden,SWE,2023,Both sexes,188,10551494,38.0,58.0,557.0,50.0,703.0,6.555356891810665
756,Switzerland,CHE,2023,Both sexes,188,8870561,29.0,41.0,485.0,36.0,591.0,6.3818160174060985
760,Syrian Arab Republic,SYR,2023,Both sexes,188,23594623,152.0,268.0,981.0,172.0,1573.0,7.360739903058278
762,Tajikistan,TJK,2023,Both sexes,188,10389798,89.0,97.0,403.0,104.0,693.0,6.541029999189903
764,Thailand,THA,2023,Both sexes,188,71702435,207.0,390.0,3888.0,296.0,4780.0,8.472195825485501
768,Togo,TGO,2023,Both sexes,188,9304338,89.0,101.0,332.0,98.0,620.0,6.429719478039138
772,Tokelau,TKL,2023,Both sexes,188,2398,0.0,0.0,0.0,0.0,0.0,-inf
776,Tonga,TON,2023,Both sexes,188,104598,1.0,1.0,4.0,1.0,7.0,1.9459101490553132
780,Trinidad and Tobago,TTO,2023,Both sexes,188,1502932,6.0,9.0,78.0,7.0,100.0,4.605170185988092
784,United Arab Emirates,ARE,2023,Both sexes,188,10642081,38.0,47.0,575.0,49.0,709.0,6.5638555265321274
788,Tunisia,TUN,2023,Both sexes,188,12200431,60.0,88.0,579.0,85.0,813.0,6.70073110954781
792,Türkiye,TUR,2023,Both sexes,188,87270502,383.0,606.0,4295.0,534.0,5818.0,8.668711839055147
795,Turkmenistan,TKM,2023,Both sexes,188,7364438,54.0,58.0,314.0,65.0,491.0,6.19644412779452
796,Turks and Caicos Islands,TCA,2023,Both sexes,188,46198,0.0,0.0,2.0,0.0,3.0,1.0986122886681098
798,Tuvalu,TUV,2023,Both sexes,188,9816,0.0,0.0,0.0,0.0,1.0,0.0
800,Uganda,UGA,2023,Both sexes,188,48656602,529.0,572.0,1585.0,558.0,3244.0,8.084562415235304
804,Ukraine,UKR,2023,Both sexes,188,37732836,87.0,199.0,2075.0,155.0,2516.0,7.830425617820331
807,North Macedonia,MKD,2023,Both sexes,188,1831802,6.0,10.0,97.0,9.0,122.0,4.804021044733257
